"#KateConwayisaJerk" (2015)	2015-????
"60 Minutes" (1968) {Betcha!/Strive (#29.48)}	1997
"60 x Deutschland - Die Jahresschau" (2009) {Das Jahr 1996 (#1.48)}	2009
"625 l�neas" (1976) {(1978-07-02)}	1978
"6pack" (2008) {(#1.6)}	2008
"7 d�as, 7 noches" (2003) {(2003-10-16)}	2003
"7 Geup Gongmoowon" (2013) {(#1.15)}	2013
"7 meres me eikona" (2000)	2000-????
"7 nains et moi" (2016) {L'amnesia de Snowe pt 1 (#1.25)}	????
"7-es csatorna" (1999) {(#1.23)}	1999
"77 Sunset Strip" (1958) {Hit and Run (#1.13)}	1959
"7th Heaven" (1996) {There's No Place Like It (#8.19)}	2004
"8 al dia" (2011) {(2012-05-12)}	2012
"8 Days a Week" (2011) {Game Change (#1.9)}	2011
"8 Simple Rules... for Dating My Teenage Daughter" (2002) {Career Woman (#1.23)}	2003
"9 to 5" (1982) {You Don't Know Me (#4.2)}	1986
"90 Plein Street" (2007) {(#2.1)}	2009
"90210" (2008) {The Prom Before the Storm (#3.21)}	2011
"99 Problems" (2014) {Sorry Franky, the Show Must Go On. (#1.7)}	2014
"9am with David & Kim" (2006) {(2006-11-30)}	2006
"@midnight" (2013) {(#3.139)}	2015
"A Baby Story" (1999) {Baby Souza}	2007
"A Beetle Called Derek" (1990) {Food and Water (#1.4)}	1990
"A Christmas Night with the Stars" (1958)	1958-1994
"A Christmas Night with the Stars" (1958) {(1971-12-25)}	1971
"A Cook's Tour" (2002) {Eating on the Mekong (#1.4)}	2002
"A Country Practice" (1981) {Can't Buy Me Love: Part 2 (#9.62)}	1989
"A Country Practice" (1981) {Duet: Part 1 (#13.79)}	1993
"A Country Practice" (1981) {Just Another Patient: Part 1 (#3.7)}	1983
"A Country Practice" (1981) {Once Upon a Time: Part 2 (#4.10)}	1984
"A Country Practice" (1981) {Wildcard: Part 1 (#13.27)}	1993
"A Country Practice" (1994) {Send Me a Dream (#1.17)}	1994
"A Current Affair" (1971) {(2003-03-17)}	2003
"A Escrava Isaura" (2004) {(#1.56)}	2004
"A Grande Fam�lia" (2001) {Marilda Caiu na Boca do Povo (#9.11)}	2009
"A League of Their Own" (2013) {(#1.3)}	2013
"A Lua Me Disse" (2005) {(2005-09-30)}	2005
"A Outra" (2008) {(#1.74)}	2008
"A Place of Our Own: Los Ni�os en Su Casa" (2005) {Ages & Stages: 1-2}	2010
"A Question of Sport" (1970) {(#34.4)}	2004
"A Question of Sport" (1970) {(1974-02-14)}	1974
"A River Somewhere" (1997) {The D'Urville, New Zealand (#1.3)}	1997
"A Sale of Two Cities" (2014)	2014-????
"A Segunda Vez" (2014)	2014-????
"A Shot at Love with Tila Tequila" (2007) {Happy Hour Reunion Special}	2008
"A su salud" (1997) {Leucemia}	2001
"A Taste of Shakespeare" (1995) {Macbeth}	2003
"A tu lado" (2002) {(2002-02-12)}	2002
"A tu lado" (2002) {(2004-11-24)}	2004
"A Verdade de Cada Um" (2013/I) {Crack (#1.1)}	2013
"A Week in Politics" (1982) {(1995-01-21)}	1995
"A World Apart: The Great Journey" (2011) {El imperio de los hijos del sol (#1.8)}	2011
"A-studio" (1971) {(2003-06-09)}	2003
"A.J.'s Time Travelers" (1995) {Charles Darwin (#1.28)}	1995
"Aamu-TV" (1997) {(2004-04-02)}	2004
"ABC Evening News" (1953) {(2013-04-13)}	2013
"ABC Evening News" (1953) {(2013-07-22)}	2013
"ABC Evening News" (1953) {(2014-11-10)}	2014
"ABC News Nightline" (1980) {(2011-02-24)}	2011
"ABC News Nightline" (1980) {(2012-08-13)}	2012
"ABC News Nightline" (1980) {(2013-05-20)}	2013
"ABC News Nightline" (1980) {(2013-11-04)}	2013
"ABC News Nightline" (1980) {(2013-12-04)}	2013
"ABC News Nightline" (1980) {(2015-01-02)}	2015
"ABC News Nightline" (1980) {(2015-01-29)}	2015
"ABC Scope" (1964) {Vietnam Report: Mayday (#2.48)}	1966
"Abismo de pasi�n" (2012) {Sospechan de Bego�a (#1.145)}	2012
"About Us" (2003) {Seattle Coffee}	2006
"Abre los ojos... y mira" (2013) {(2013-12-14)}	2013
"Acceptable TV" (2007) {Law & Order (#1.17)}	2007
"Access Hollywood Live" (2010) {(2011-09-23)}	2011
"Access Hollywood Live" (2010) {(2012-02-29)}	2012
"Access Hollywood Live" (2010) {(2012-07-27)}	2012
"Access Hollywood Live" (2010) {(2014-05-06)}	2014
"Access Hollywood Live" (2010) {(2015-02-20)}	2015
"Access Hollywood Live" (2010) {(2015-08-25)}	2015
"Access Hollywood" (1996)	1996-????
"Access Hollywood" (1996) {(2011-02-04)}	2011
"Access Hollywood" (1996) {(2012-06-27)}	2012
"Access Hollywood" (1996) {(2013-02-01)}	2013
"Access Hollywood" (1996) {(2013-07-01)}	2013
"Acesso MTV" (2009) {(2011-08-29)}	2011
"ACME Saturday Night" (2009) {Elizabeth Hendrickson (#2.15)}	2010
"Acomp��enos" (2007) {(2008-05-22)}	2008
"Actors Entertainment" (2009) {ActorsE Chat with Jian Leonardo and Ric Drasin (#5.8)}	2013
"Actors Entertainment" (2009) {ActorsE Chat with John Michael Ferrari, Pepper Jay, and Desiree Anderson (#1.123)}	2009
"Actors Entertainment" (2009) {ActorsE Chat with Ken Mora and Julie-Kathleen Langan (#6.127)}	2014
"Actors Entertainment" (2009) {ActorsE Chat with Rajeev Dassani and Julie-Kathleen Langan (#6.212)}	2014
"Actors Entertainment" (2009) {ActorsE Chat: Chil Kong/Yi Tian (#3.41)}	2011
"Actors Entertainment" (2009) {ActorsE Chat: Judith Jones (#2.117)}	2010
"Actors Entertainment" (2009) {ActorsE Chat: Oscar Torre/Kristina Nikols}	2010
"Adaalat" (2010) {Dacait Ka Insaaf: Part 2 (#1.155)}	2012
"Adaalat" (2010) {Qatil Judi Hui Judwa: Part 1 (#1.88)}	2012
"Adam Adamant Lives!" (1966) {The Resurrectionists (#2.11)}	1967
"Adam-12" (1968) {The Adoption (#4.18)}	1972
"Adelheid und ihre M�rder" (1993) {Blaubarts letzte Frau (#1.8)}	1996
"Adharca Fada" (2006) {(#1.3)}	2006
"ADHDtv: With Lew Marklin" (2007) {Lewie and Geeno Gone Wild and Crazy (#1.11)}	2007
"Adieu God?" (2012) {Tijs van den Brink in gesprek met Martin Simek (#4.9)}	2013
"Ador�vel Psicose" (2010) {O Presente (#4.8)}	2013
"Adultish" (2014) {Gimme Shelter (#2.5)}	????
"Adumot" (2003) {Milchama (#1.12)}	2003
"Adventures of the Old West" (1995) {Pioneers in the Promised Land (#1.4)}	1995
"Advokat" (2004) {Starie scheti (#7.12)}	2010
"Afganskiy prizrak" (2008) {(#1.6)}	????
"AFME on Q with Michael Newman" (2014) {World Renown Local Speed Painter Michael Ostaski (#1.4)}	2014
"Aftenshowet" (2007) {(2007-11-02)}	2007
"Aftenshowet" (2007) {(2008-05-27)}	2008
"Aftenshowet" (2007) {(2012-08-30)}	2012
"Aftenshowet" (2007) {(2013-04-10)}	2013
"After Lately" (2011) {A Tale of Two Lisps (#2.8)}	2012
"After the Bell" (2015) {(2015-09-10)}	2015
"After They Were Famous" (1999) {(#3.7)}	2002
"Agatha Christie's Poirot" (1989) {The Adventure of the Egyptian Tomb (#5.1)}	1993
"Agenstvo" (2003) {(#1.9)}	????
"Agentul VIP" (2007) {(#1.13)}	2007
"Agigma psyhis" (1998) {(#1.25)}	1999
"Agrosfera" (1995) {(1998-02-14)}	1998
"Agrosfera" (1995) {(2007-05-12)}	2007
"Aguri" (1997) {(#1.101)}	1997
"Ahora" (2000) {(2001-07-02)}	2001
"Ahora" (2000) {(2003-02-01)}	2003
"Aidorumasut�: Xenoglossia" (2007) {RUN! (#1.23)}	2007
"Aijou ippon" (2004) {(#1.4)}	2004
"Ailiseu" (2009) {(#2.19)}	2013
"Aimless" (2012) {The Walk Part 1-Ashlee (#1.6)}	2012
"Air Galicia" (2007) {As d�bedas (#3.19)}	2009
"Airs De France" (1957) {L�-haut}	1958
"Ajankohtainen kakkonen" (1969) {(1986-09-16)}	1986
"Ajuste de Contas" (2000) {(#1.144)}	2001
"Akademiya krasoty s Lyaysan Utyashevoy" (2011)	2011-????
"Akage no An" (1979) {An, oitatsu o kataru (#1.4)}	1979
"Akai ito no onna" (2012) {(#1.35)}	2012
"Akatsuki" (1963) {(#1.81)}	1963
"Aktenzeichen XY ungel�st" (1967) {(1982-02-26)}	1982
"Ak� daisakusen Srungle" (1983) {Denshi sekai (g�bittsu shisutemu) kara no dasshutsu (#1.15)}	1983
"Al filo de la ley" (2005/I) {El sexo de los abogados (#1.9)}	2005
"Al habla" (1998) {El lenguaje de los juegos}	2001
"Al Jazeera English" (2006) {(2007-04-18)}	2007
"Al Read Says What a Life!" (1966) {(#1.1)}	1966
"Al salir de clase" (1997) {Familia en venta (#1.91)}	1998
"Al salir de clase" (1997) {Sue�os rotos (#10.74)}	2001
"Al salir de clase" (1997) {Vivir la noche (#11.37)}	2002
"Alarm f�r Cobra 11 - Die Autobahnpolizei" (1996) {Der letzte Tag (#28.4)}	2010
"Alaska Gold Diggers" (2013) {Mining for Miners (#1.1)}	2013
"Alaska State Troopers" (2009) {Burning Alaska (#6.3)}	2014
"Alaska: Battle on the Bay" (2015) {Fireworks}	2015
"Alerta 112" (1998) {(1998-10-07)}	1998
"Alerta 112" (1998) {(2000-02-03)}	2000
"Alex's Day Off" (2009) {Hors d'Oeuvres (#3.5)}	2010
"Alexander the Greatest" (1971) {Kicking the Filthy Habit (#2.4)}	1972
"Alexei Sayle's Stuff" (1988) {Whistling Calculus for Tax Purposes (#2.5)}	1989
"Alfred Hitchcock Presents" (1985) {Reunion (#4.19)}	1989
"Algo que celebrar" (2015) {La ca�da de la casa Navarro (#1.8)}	2015
"Algo's Factory" (1997)	1997-????
"Alguna vez tendremos alas" (1997) {(#1.5)}	????
"Alias" (2001) {Resurrection (#3.22)}	2004
"Alice" (1976) {Profit Without Honor (#4.22)}	1980
"All Grown Up!" (2003) {Ladies Man}	2007
"All in with Laila Ali" (2013) {Best Of: Cold, Fast and Fearless (#1.26)}	2014
"All My Children" (1970) {(#1.10124)}	2009
"All My Children" (1970) {(#1.10163)}	2009
"All My Children" (1970) {(#1.10164)}	2009
"All My Children" (1970) {(#1.10461)}	2010
"All My Children" (1970) {(#1.10546)}	2011
"All My Children" (1970) {(#1.10577)}	2011
"All My Children" (1970) {(#1.10611)}	2011
"All My Children" (1970) {(#1.10691)}	2011
"All My Children" (1970) {(#1.6979)}	1997
"All My Children" (1970) {(#1.7004)}	1997
"All My Children" (1970) {(#1.7052)}	1997
"All My Children" (1970) {(#1.9733)}	2007
"All My Children" (1970) {(1987-07-07)}	1987
"All My Children" (1970) {(1995-06-16)}	1995
"All Saints" (1998) {Family Feud (#1.28)}	1998
"All Saints" (1998) {Family Matters (#10.1)}	2007
"All Saints" (1998) {Night Moves (#6.18)}	2003
"All That Matters" (2015)	2015-????
"All That" (1994) {(#3.18)}	1997
"All That" (1994) {Barry Watson/Christina Milian (#7.3)}	????
"All the Gear: No Idea!" (2005) {Connor O'Driscoll}	2005
"Alle zusammen - Jeder f�r sich" (1996) {(#1.155)}	1997
"Alles was z�hlt" (2006) {Julian stirbt w�hrend der Hochzeit (#1.313)}	2007
"Alles was z�hlt" (2006) {Katja: Die Fussballtrainerin (#1.1731)}	2013
"Alles was z�hlt" (2006) {Simone wird �ffentlich blamiert (#1.843)}	2010
"Alles �ber Anna" (2006) {Unter Verdacht (#1.4)}	2006
"All� t�" (2004) {(2004-08-10)}	2004
"All� t�" (2004) {(2008-01-02)}	2008
"Almost There!" (1988) {Miss Shelley B. (#1.1)}	1989
"Alondra" (1995)	1995-????
"Alone" (2015)	2015-????
"Alta comedia" (1991) {Cambio de imagen}	????
"Alta comedia" (1991) {El impostor}	1992
"Alta tensi�n" (2006) {(2008-01-22)}	2008
"Altar Pobedy" (2009)	2009-????
"Altar Pobedy" (2009) {(#1.30)}	????
"Always Greener" (2001) {Surfboards in the Roof (#2.22)}	2003
"Alys" (2011) {Pennod 7 (#1.7)}	2011
"AM - Antes del mediod�a" (2006) {(2013-11-06)}	2013
"AM - Antes del mediod�a" (2006) {(2015-01-02)}	2015
"AM Northwest" (1976) {Chris Wright:: Writer for 'Lost'}	2010
"Amanda Burton's Killer Forensics" (2013) {Blood Ties (#1.1)}	2013
"Amanhecer" (2002) {(#1.180)}	2003
"Amanhecer" (2002) {(#1.38)}	2002
"Amantes del Desierto" (2001) {(#1.36)}	2001
"Amantes" (2005) {(#1.43)}	????
"Amar en tiempos revueltos" (2005) {(#10.97)}	2015
"Amar en tiempos revueltos" (2005) {(#7.149)}	2012
"Amar en tiempos revueltos" (2005) {(2007-07-31)}	2007
"Amar en tiempos revueltos" (2005) {(2011-07-11)}	2011
"Amar en tiempos revueltos" (2005) {Amador se va a Buenos Aires}	2007
"Amar en tiempos revueltos" (2005) {Cristina no puede olvidar a Salvador}	2010
"Amateur CFNM" (2014) {Aunt Wendy's Cleavage}	2015
"Amazing Sports Stories" (2008)	2008-????
"Amazon" (1984) {Calypso Countdown: Rigging for the Amazon (#1.0)}	1984
"Amazonki" (2011) {(#1.19)}	????
"America Live" (2010) {(2012-09-21)}	2012
"America Live" (2010) {(2013-08-20)}	2013
"America Now" (2010) {(#4.129)}	2014
"America Unplugged" (2014) {Ryan Lipinski & Addie Leeman (#1.4)}	2014
"America's Court with Judge Ross" (2010) {It's a Wedding Dress Not a Baby Seat}	2014
"America's Court with Judge Ross" (2010) {Tattoo You/Cell Phone Belly Flop (#1.214)}	2011
"America's Court with Judge Ross" (2010) {The Bachelor Auction/House Vandalized (#1.149)}	2011
"America's Got Talent" (2006) {Semifinals: Part 4 (#1.7)}	2006
"America's Got Talent" (2006) {Sunday Special (#9.5)}	2014
"America's Most Wanted" (1988) {Bradley Robinett}	2011
"America's Most Wanted" (1988) {Denice Stumpner/Kenneth Alvin Michel (#1.20)}	1988
"America's Most Wanted" (1988) {Seymour Pinckney/Paul Alsbury (#3.87)}	1989
"America's Newsroom" (2007) {(2014-09-02)}	2014
"America's Newsroom" (2007) {(2014-09-11)}	2014
"America's Newsroom" (2007) {(2015-05-18)}	2015
"America's Next Top Model" (2003) {The Girl Who Wrecks the Car (#7.8)}	2006
"America's Wild Spaces" (2008) {The Everglades}	2008
"America: Facts vs. Fiction" (2013) {Trick or Treat (#1.4)}	2013
"American Builder" (2004) {Island Pond: Carpet Install (#2.41)}	2005
"American Chopper: The Series" (2003) {Liberty Bike 2 (#1.29)}	2004
"American Chopper: The Series" (2003) {New Venture}	2012
"American Experience" (1988) {JFK: Part 2 (#25.3)}	2013
"American Gangster" (2006) {Melvin Williams (#2.3)}	2007
"American Greed" (2007) {A Wolf in Priest's Clothing}	2014
"American Greed, the Fugitives" (2012) {Aubrey Lee Price -and- Sam Jain & Daniel Sundin (#1.10)}	2013
"American Idol: The Search for a Superstar" (2002) {(#2.32)}	2003
"American Idol: The Search for a Superstar" (2002) {Hollywood Round: Part 3 (#9.11)}	2010
"American Idol: The Search for a Superstar" (2002) {I Need Results, Not Excuses (#2.15)}	????
"American Inventor" (2006) {(#2.4)}	2007
"American Morning" (2002) {(2007-08-07)}	2007
"American Pickers" (2010) {White Knuckles (#5.22)}	2013
"American Playhouse" (1981) {Oppenheimer: Part V (#1.22)}	1982
"American Restoration" (2010) {Bimbo and the Beasts (#4.8)}	2013
"American Restoration" (2010) {Pests and Pins (#4.7)}	2013
"American Underworld" (2011) {Sex Trade (#1.3)}	2011
"Amigas y conocidas" (2014) {(2015-11-02)}	2015
"Amika" (2008) {Het ontslag van Casper (#1.45)}	2008
"Amika" (2008) {Wereldberoemd in 3 stappen (#2.4)}	2009
"Amor brav�o" (2012) {El portafolio de Dionisio (#1.161)}	2012
"Amor de mis amores" (2004) {(#1.8)}	2004
"Amor en custodia" (2005/II) {(#1.4)}	2005
"An Actor's True Life in Hollywood" (2014) {Fact or Fiction (Day 298) (#10.21)}	2015
"An Actor's True Life in Hollywood" (2014) {New Glasses (Day 222) (#8.7)}	2014
"An Actor's True Life in Hollywood" (2014) {Rock, Paper, Scissors (Day 402) (#14.5)}	2015
"An thymitheis t' oneiro mou" (2003)	2003-2004
"Ana E os Sete" (2003) {(#1.9)}	2003
"Ana Mead" (2013) {(#1.7)}	????
"Ana" (1991) {(#1.2)}	????
"Ana" (1996) {(1998-04-08)}	1998
"Anal Rehab" (2007) {(2014-08-02)}	2014
"Anatole" (1998) {Sewer Rats (#1.2)}	1998
"Ancient Aliens" (2009)	2009-????
"Ancient Mysteries" (1994) {The Hidden City of Petra (#3.1)}	1995
"And Mother Makes Three" (1971) {But How Can I Tell Them? (#2.4)}	1971
"Anderson Cooper 360�" (2003) {(2011-11-09)}	2011
"Anderson Cooper 360�" (2003) {(2012-09-07)}	2012
"Anderson Cooper 360�" (2003) {(2013-07-19)}	2013
"Anderson Cooper 360�" (2003) {(2014-02-19)}	2014
"Andy Pandy" (2002) {Growing Pains (#1.20)}	2002
"Andy Richter Controls the Universe" (2002) {Little Andy in Charge (#1.3)}	2002
"And�wea" (2015) {Ranwei sh� (#1.8)}	2015
"Angel Heart" (2005) {Fuk�hei na shiawase (#1.22)}	2006
"Angel" (1999) {Loyalty (#3.15)}	2002
"Angela's Eyes" (2006) {Lyin' Eyes (#1.9)}	2006
"Angela's Eyes" (2006) {Open Your Eyes (#1.7)}	2006
"Angelito: Batang ama" (2011) {Rosalie Puts Her Baby in Danger While Trying to Help Angelito (#1.15)}	2011
"Angelito: Batang ama" (2011) {Will Rosalie and Her Baby Survive? (#2.40)}	2012
"Angelo Rules" (2010) {Girl Pyjama Party (#2.44)}	2012
"Angelos Epithemiou's Moving On" (2010)	2010-????
"Angie Tribeca" (2016) {(#1.2)}	2016
"Angie" (2006) {Schiff ahoi! (#2.10)}	2008
"Angry Britain" (2014) {Work Rage (#1.4)}	2014
"Angry Kid" (1999) {Wee Wee (#1.21)}	1999
"Animal 24/7" (2006)	2006-????
"Animal Atlas" (2004) {Birds to be Reckoned With}	2011
"Animal Atlas" (2004) {Living Like a Pig}	2011
"Animal Cops: Houston" (2003) {Breathe}	2010
"Animal Hospital" (1994) {(#1.1)}	1994
"Animals in Love" (2015) {(#1.1)}	2015
"AniMat's Reviews" (2010)	2010-????
"AniMat's Reviews" (2010) {The Lorax (#3.2)}	2012
"Animated Hero Classics" (1991) {Music Video - Volume 1 (1.10)}	1994
"Anime Abandon" (2011) {Doomed Megalopolis Part 2 (#1.6)}	2011
"Anime Abandon" (2011) {M.D. Geist (#4.27)}	2014
"AnimeCons TV" (2009) {June 2009 (#1.5)}	2009
"Anjo Selvagem" (2001) {(#1.108)}	2002
"Anjo Selvagem" (2001) {(#1.116)}	2002
"Anjo Selvagem" (2001) {(#1.135)}	2002
"Anjo Selvagem" (2001) {(#1.22)}	2001
"Anjo Selvagem" (2001) {(#1.404)}	2003
"Ankawa" (2005)	2005-2006
"Anke Late Night" (2004) {(#1.19)}	????
"Anna & Kristina's Grocery Bag" (2008) {My Pizza (#4.6)}	2012
"Annie Oakley" (1954) {Sugarfoot Sue (#3.13)}	1956
"Another World" (1964) {(#1.2561)}	1974
"Another World" (1964) {(#1.3047)}	1976
"Another World" (1964) {(#1.3076)}	1976
"Another World" (1964) {(#1.3759)}	1979
"Another World" (1964) {(#1.8201)}	1996
"Antena 3 noticias" (1990) {(1997-02-24)}	1997
"Antena 3 noticias" (1990) {(1998-05-09)}	1998
"Antena 3 noticias" (1990) {(2000-06-29)}	2000
"Antena 3 noticias" (1990) {(2001-11-18)}	2001
"Antena 3 noticias" (1990) {(2006-01-12)}	2006
"Antena 3 noticias" (1990) {(2010-12-25)}	2010
"Antidote 15" (2014) {New Tricks (#2.4)}	2015
"Antiparatheseis" (2007)	2007-????
"Antiques Roadshow" (1979) {Bishop Auckland (#29.4)}	2006
"Antiques Roadshow" (1979) {Compilation (#31.5)}	2008
"Antiques Roadshow" (1979) {Wimbledon 1 (#34.22)}	2012
"Antje" (2003) {Antje und die Erbschaft in Australien (#1.16)}	2004
"Aphrodisia" (1995) {Bal masqu� (#1.62)}	1995
"Apnea" (2009) {Michele (#1.3)}	2009
"Apostrophes" (1975) {(1983-05-20)}	1983
"Apostrophes" (1975) {Bizarre autant qu'�trange}	1981
"Apuesta por un amor" (2004) {(#1.44)}	2004
"Aqu� hay tomate" (2003) {(2005-02-02)}	2005
"Aqu� hay tomate" (2003) {(2007-05-03)}	2007
"Aqu� hay trabajo" (2000) {(2001-02-27)}	2001
"Aqu� hay trabajo" (2000) {(2002-02-18)}	2002
"Aqu� hay trabajo" (2000) {(2002-10-04)}	2002
"Aqu� hay trabajo" (2000) {(2005-05-13)}	2005
"Aqu� hay trabajo" (2000) {(2014-06-23)}	2014
"Arabian naitsu: Shinbaddo no b�ken" (1975) {Kobito-jima no daisens� (#1.31)}	1976
"Arabian naitsu: Shinbaddo no b�ken" (1975) {Soratobu mokuba (#1.13)}	1975
"Araiguma Rasukaru" (1977) {Mo sugu kurisumasu (#1.42)}	1977
"Arata Kangatari" (2013) {Okoro (#1.6)}	2013
"Archie's Weird Mysteries" (1999) {Fleas Release Me}	2002
"Are You Afraid of the Dark?" (1990) {The Tale of the Quicksilver (#3.11)}	1994
"Are You Afraid of the Dark?" (1990) {The Tale of the Quiet Librarian (#4.6)}	1994
"Are You Being Served?" (1972) {Goodbye Mr. Grainger (#5.6)}	1977
"Are You Being Served?" (1980) {The Agent (#1.4)}	1980
"Aria the Origination" (2008) {Sono Otsukimi no yoru no tokimeki wa... (#1.10)}	2008
"Arka sokaklar" (2006) {(#3.92)}	2008
"Armchair Theatre" (1956) {The Great City (#2.10)}	1957
"Around the World in 80 Plates" (2012) {Cry for Me Argentina (#1.9)}	2012
"Around the World in Eighty Days" (1972)	1972-1973
"Array�n" (2001) {(#11.46)}	2010
"Array�n" (2001) {(2011-05-26)}	2011
"Arrest and Trial" (1963) {Those Which Love Has Made (#1.29)}	1964
"Art Attack" (1999) {(2002-07-26)}	2002
"Art in Progress" (2004) {Art in Progress: Tom Otterness}	????
"Art Treasures" (2003) {(#14.15)}	2006
"Art Treasures" (2003) {(#7.19)}	2004
"Artbound" (2012) {(#1.3)}	2012
"Artexpress" (2012) {Exhibition Overview (#1.1)}	2012
"Artour" (1992) {(2006-02-23)}	2006
"Arts Showcase" (2012) {(#2.18)}	2014
"artScene" (2013) {Steven Liguori (#1.12)}	2013
"Arucitys" (2004) {(2006-11-13)}	2006
"Arupusu no sh�jo Haiji" (1974)	1974-????
"Arvostele mun illallinen Suomessa" (2011) {Robi (#2.12)}	2012
"Aryana" (2012) {Aryana Tries to Get Over the Pain That She Feels Whenever She Sees Hubert and Megan (#1.115)}	2012
"As If" (2001) {Jamie's POV (#4.19)}	2004
"As leis de Celavella" (2003) {(#1.6)}	2004
"As the World Turns" (1956) {(#1.11426)}	2000
"As the World Turns" (1956) {(#1.12926)}	2007
"As the World Turns" (1956) {(#1.12990)}	2007
"As the World Turns" (1956) {(#1.13024)}	2007
"As the World Turns" (1956) {(#1.13723)}	2010
"As the World Turns" (1956) {(#1.13783)}	2010
"As the World Turns" (1956) {(2000-06-13)}	2000
"As the World Turns" (1956) {(2000-11-03)}	2000
"As the World Turns" (1956) {(2006-08-17)}	2006
"Asa ga kita" (2015) {(#1.25)}	2015
"Asa no hottorain" (1981)	1981-????
"ASAP Rocks" (2011) {(2013-10-27)}	2013
"Ascension" (2014)	2014-????
"Ask Charlie" (2010) {Ian Gets Framed!!! (#2.32)}	2011
"Ask This Old House" (2002) {(#2.10)}	2003
"ASS Apartment Sketch Show" (2011) {Monk'd (#1.5)}	2011
"Assignment Foreign Legion" (1956) {The Ghost (#1.8)}	1956
"Asta seara filmam in familie" (2007) {(2007-06-10)}	2007
"As� Somos" (2005) {(2010-05-03)}	2010
"As� son ellas" (2002) {(#1.6)}	2002
"As� son las cosas" (1997) {(1997-12-02)}	1997
"As� son las cosas" (1997) {(2001-10-30)}	2001
"At the Movies" (2004) {Summer Special 2008/09 (#5.42)}	2008
"Atakku no. 1" (1969) {Tatsumaki otoshi tanj� (#1.95)}	1971
"Atlantida" (2007) {(#1.38)}	????
"Atlas 4D" (2010) {The Mediterranean (#1.3)}	2010
"Atomic Kingdom" (2013) {Bitter Kin (#1.7)}	2014
